model_output,target,scores,scores_inserts
iyakukholwa,Ngiyakukholwa.,['1111111111'],['[]']
ngiyakhukholwa,Ngiyakukholwa.,"['1111011111', '1111011111']","['[]', '[]']"
ngiyakhukhowa,Ngiyakukholwa.,"['1111011111', '1111011111']","['[]', '[]']"
ngiyakukholwa,Ngiyakukholwa.,"['1111111111', '1111111111']","['[]', '[]']"
ngiyakokholwa,Ngiyakukholwa.,"['1111111111', '1111111111']","['[]', '[]']"
ngiyakukholwa,Ngiyakukholwa.,"['1111111111', '1111111111']","['[]', '[]']"
ngiyakukholwa,Ngiyakukholwa.,['1111111111'],['[]']
ingi yakho kuhlwa,Ngiyakukholwa.,"['1111011001', '1111000011', '1111010101']","['[]', '[]', '[""0""]']"
ngiyakhakhulwa,Ngiyakukholwa.,"['1111000011', '1111001011']","['[""4"", ""5"", ""6"", ""7""]', '[]']"
ngiya kukolwa,Ngiyakukholwa.,['1111011111'],['[]']
ngiyakhukolwa,Ngiyakukholwa.,['1111011111'],['[]']
ingiya khoku lowa,Ngiyakukholwa.,['1111011011'],"['[""0""]']"
abantu bafike nini,Abantu bafike nini?,"['111101111110111111', '101101111111111111']","['[]', '[]']"
abantu bafike nini,Abantu bafike nini?,"['111111111111111111', '101101101110111111']","['[]', '[]']"
abantu bafika nini,Abantu bafike nini?,['111111111111011111'],['[]']
abantu bafike nini,Abantu bafike nini?,"['111111111111111111', '111111111111111111', '111111111111111111']","['[]', '[]', '[]']"
abantu bafike nini,Abantu bafike nini?,"['111111111111111111', '111111111111111111']","['[]', '[]']"
abantu bafike nini,Abantu bafike nini?,['111111111111111111'],['[]']
abantu bafikaneni,Abantu bafike nini?,"['111111111111111111', '111111111111011111']","['[]', '[]']"
abantu bafike niniy,Abantu bafike nini?,"['111111111111111111', '101111101111111111']","['[]', '[]']"
abantu bafike nini,Abantu bafike nini?,['101101101110111111'],['[]']
abantu bafike nini,Abantu bafike nini?,['111111111111111111'],['[]']
abantu bafike nini,Abantu bafike nini?,['101101101110111111'],['[]']
abantu bafike nni,Abantu bafike nini?,['101101101111111111'],['[]']
abafobayabafuna odade namuhla,Abafo bayabafuna odade namuhla.,['11111111111111111111111111111'],['[]']
abafo bayabafuna odadenamuhla,Abafo bayabafuna odade namuhla.,['11111101110111111111111111111'],['[]']
abhafol bayafuna odadenamuhla,Abafo bayabafuna odade namuhla.,"['11111111110011111111111111111', '10111101111111111111111111111']","['[]', '[]']"
abaofo bayafuna odadenamudla,Abafo bayabafuna odade namuhla.,"['11111111110011111111111111111', '11111111111111111111111111111']","['[]', '[]']"
abafo bayobafuna odadenamuhle,Abafo bayabafuna odade namuhla.,['11111111111111111111111111111'],['[]']
abafo bayabafuna odadenamuhla,Abafo bayabafuna odade namuhla.,"['11111111111111111111111111111', '11111111111111111111111111111', '11111111111111111111111111111']","['[]', '[]', '[]']"
abafobayafuna odade namuhla,Abafo bayabafuna odade namuhla.,['11111111110011111111111111111'],['[]']
abafobhayabafundi udade namushla,Abafo bayabafuna odade namuhla.,"['11111111111111111111111111111', '11111101110111001111111111001']","['[]', '[]']"
abafobafuna udade namuhle,Abafo bayabafuna odade namuhla.,['10111101110011111011111111110'],['[]']
abafo bayabafuna odade namuhla,Abafo bayabafuna odade namuhla.,['10111101110111111111111111111'],['[]']
abofa bayabafuna odadenamuhla,Abafo bayabafuna odade namuhla.,['11010101110111111111111111111'],['[]']
abafo bayabafuna adonamhlula,Abafo bayabafuna odade namuhla.,['11111101110111111000001110000'],['[]']
niyangihleka futhi,Niyangihleka futhi?,"['111111111111111', '111111111111111']","['[]', '[]']"
niya ngihleka futhi,Niyangihleka futhi?,"['111111110111111', '111111111111111']","['[]', '[]']"
ngiya hleka futhi,Niyangihleka futhi?,['011100110111111'],"['[""1""]']"
niya ngihleka futhi,Niyangihleka futhi?,['111111111111111'],['[]']
niyan gihleka futhi,Niyangihleka futhi?,['111111111111111'],['[]']
ninyan gihleka futhi,Niyangihleka futhi?,"['111111111111111', '111111111111111']","['[]', '[]']"
niya ngihleka futhi,Niyangihleka futhi?,['111111111111111'],['[]']
niya ingishleka futhe,Niyangihleka futhi?,['111111111111111'],['[]']
niya ngihleka futhi,Niyangihleka futhi?,['111111111111111'],"['[""4""]']"
niya ngihleka futi,Niyangihleka futhi?,['111111111111111'],['[]']
niya ngehleka futhi,Niyangihleka futhi?,['111110110111111'],['[]']
giyan ngihleka futhi,Niyangihleka futhi?,['011101111111111'],"['[""0""]']"
izigokho zibikhodwa izingubozinhle,Izigqoko zimbi kodwa izingubo zinhle.,['1110010111111110111111111111111111'],['[]']
izigqoko zimbikhodwa izingubozinhle,Izigqoko zimbi kodwa izingubo zinhle.,['1111111111111111111111111111111111'],['[]']
isigqokasimbikodwaizingubo sinhle,Izigqoko zimbi kodwa izingubo zinhle.,['1111111011111111111111111111111111'],['[]']
izigcoko zimbi kodwaizingubozenhle,Izigqoko zimbi kodwa izingubo zinhle.,"['1111011111111111111111111111111111', '1110001111111111111111111111111111']","['[]', '[]']"
izigxokozimbi kodaizingubo zinhle,Izigqoko zimbi kodwa izingubo zinhle.,"['1111111111111111111111111111111111', '1111111111111111111111111111111111', '1111111111111111111111111111111111']","['[]', '[]', '[]']"
izigqokozimbi kodwa izingubozinhle,Izigqoko zimbi kodwa izingubo zinhle.,"['1111111111111111111111111111111111', '1111111111111111111111111111111111', '1111111111111111111111111111111111']","['[]', '[]', '[]']"
izigqokozimbi kodwaizingubo zinhle,Izigqoko zimbi kodwa izingubo zinhle.,['1111111111111111111111111111111111'],['[]']
izingqogo zibikwadwa izingubo zinhle,Izigqoko zimbi kodwa izingubo zinhle.,"['1110010111111110111111111111111001', '1111011111111110011111111111111111']","['[]', '[""4"", ""16""]']"
iziqokozibekhodwaizingubho zinhle,Izigqoko zimbi kodwa izingubo zinhle.,['1110011111111110111111111111111111'],['[]']
